FirstLast,Criteria,FirstLast,Year,YearsPlayed,RosterLink,Hometown,HS,ClassYear,College,First,Gender,Last,MidInit,MidName,Name,RosterYear
Katherine Rhee, Yale,Katherine Rhee,1997,3,,,,,Yale University,Katherine,W,Rhee,,,,
Mary McLean, Yale,Mary McLean,1997,1,,,,,Yale University,Mary,W,McLean,,,,
Leah Boucher, Yale,Leah Boucher,1997,1,,,,,Yale University,Leah,W,Boucher,,,,
Clara Chun, Yale,Clara Chun,1997,2,,,,,Yale University,Clara,W,Chun,,,,
Wendy Chang, Yale,Wendy Chang,1998,1,,,,,Yale University,Wendy,W,Chang,,,,
Somer Khanlarian, Yale,Somer Khanlarian,1999,3,,,,,Yale University,Somer,W,Khanlarian,,,,
Naomi Zeff, Yale,Naomi Zeff,1999,3,,,,,Yale University,Naomi,W,Zeff,,,,
Denitza Blagev, Yale,Denitza Blagev,1999,3,,,,,Yale University,Denitza,W,Blagev,,,,
Sara Naison-Phillips, Yale,Sara Naison-Phillips,1999,3,,,,,Yale University,Sara,W,Naison-Phillips,,,,
Maria Parad, Yale,Maria Parad,1999,2,,,,,Yale University,Maria,W,Parad,,,,
Christina Blodgett, Yale,Christina Blodgett,2000,3,,,,,Yale University,Christina,W,Blodgett,,,,
Barbara Ellis, Yale,Barbara Ellis,2000,1,,,,,Yale University,Barbara,W,Ellis,,,,
Jacklyn Fu, Yale,Jacklyn Fu,2000,3,,,,,Yale University,Jacklyn,W,Fu,,,,
Kirsten Gross, Yale,Kirsten Gross,2000,3,,,,,Yale University,Kirsten,W,Gross,,,,
Ashlee Ferlito, Yale,Ashlee Ferlito,2001,3,,,,,Yale University,Ashlee,W,Ferlito,,,,
Cynthia Obsitnik, Yale,Cynthia Obsitnik,2001,3,,,,,Yale University,Cynthia,W,Obsitnik,,,,
Lauren Muehl, Yale,Lauren Muehl,2001,3,,,,,Yale University,Lauren,W,Muehl,,,,
Andrea Goldberg, Yale,Andrea Goldberg,2002,3,,,,,Yale University,Andrea,W,Goldberg,,,,
Bronson Oosterhuis, Yale,Bronson Oosterhuis,2002,3,,,,,Yale University,Bronson,W,Oosterhuis,,,,
Susan Hiniker, Yale,Susan Hiniker,2003,3,,,,,Yale University,Susan,W,Hiniker,,,,
Elizabeth Kaufman, Yale,Elizabeth Kaufman,2003,3,,,,,Yale University,Elizabeth,W,Kaufman,,,,
Karlyn Martin, Yale,Karlyn Martin,2004,3,,,,,Yale University,Karlyn,W,Martin,,,,
Meagan Caldwell, Yale,Meagan Caldwell,2004,2,,,,,Yale University,Meagan,W,Caldwell,,,,
Ashley Martin, Yale,Ashley Martin,2004,3,,,,,Yale University,Ashley,W,Martin,,,,
Rekha Natrajan, Yale,Rekha Natrajan,2004,2,,,,,Yale University,Rekha,W,Natrajan,,,,
Betsy Shapiro, Yale,Betsy Shapiro,2004,1,,,,,Yale University,Betsy,W,Shapiro,,,,
Margaret Purcell, Yale,Margaret Purcell,2004,3,,,,,Yale University,Margaret,W,Purcell,,,,
Reshmi Srinath, Yale,Reshmi Srinath,2005,4,,,,,Yale University,Reshmi,W,Srinath,I.,,,
