FirstLast,Criteria,FirstLast,Year,YearsPlayed,RosterLink,Hometown,HS,ClassYear,College,First,Gender,Last,MidInit,MidName,Name,RosterYear
Eero Vasa, Cornell,Eero Vasa,2020,2,https://cornellbigred.com/sports/mens-tennis/roster/eero-vasa/52664,"Turku, Finland",Pohjols-Haagan Coeducational School (UCF),['Sophomore' 'Junior'],Cornell University,Eero,M,Vasa,,,Eero Vasa,"[""2018-19 Men's Tennis Roster"" ""2019-20 Men's Tennis Roster""]"
Evan Bernstein, Cornell,Evan Bernstein,2011,3,https://cornellbigred.com/sports/mens-tennis/roster/evan-bernstein/13229,"Boca Raton, Fl.",West Boca Raton HS,['Freshman' 'Sophomore' 'Senior'],Cornell University,Evan,M,Bernstein,,,Evan Bernstein,"[""2008-09 Men's Tennis Roster"" ""2009-10 Men's Tennis Roster""
 ""2010-11 Men's Tennis Roster""]"
Evan Bynoe, Cornell,Evan Bynoe,2020,3,https://cornellbigred.com/sports/mens-tennis/roster/evan-bynoe/52656,"Parkland, Fla.",Florida Virtual School,['Freshman' 'Sophomore' 'Junior'],Cornell University,Evan,M,Bynoe,,,Evan Bynoe,"[""2017-18 Men's Tennis Roster"" ""2018-19 Men's Tennis Roster""
 ""2019-20 Men's Tennis Roster""]"
Evan McElwain, Cornell,Evan McElwain,2013,3,https://cornellbigred.com/sports/mens-tennis/roster/evan-mcelwain/31438,"Tulsa, Okla.",Booker T. Washington HS,['Freshman' 'Sophomore' 'Junior'],Cornell University,Evan,M,McElwain,,,Evan McElwain,"[""2010-11 Men's Tennis Roster"" ""2011-12 Men's Tennis Roster""
 ""2012-13 Men's Tennis Roster""]"
Floyd Downs, Cornell,Floyd Downs,1958,3,,"Schenectady, NY",Nott Terrace HS,['Sophomore' 'Junior' 'Senior'],Cornell University,Floyd,M,Downs,L.,,Floyd L. Downs,"[""1955-56 Men's Tennis Roster"" ""1956-57 Men's Tennis Roster""
 ""1957-58 Men's Tennis Roster""]"
Gary Schoener, Cornell,Gary Schoener,1966,3,,"Lansdowne, Pa.",Lansdowne-Aldan HS,['Sophomore' 'Junior' 'Senior'],Cornell University,Gary,M,Schoener,R.,,Gary R. Schoener,"[""1963-64 Men's Tennis Roster"" ""1964-65 Men's Tennis Roster""
 ""1965-66 Men's Tennis Roster""]"
George Kennedy, Cornell,George Kennedy,1952,2,,"Grosse Pointe, Mic",Grosse Pointe HS,['Junior' 'Senior'],Cornell University,George,M,Kennedy,M.,,George M. Kennedy,"[""1950-51 Men's Tennis Roster"" ""1951-52 Men's Tennis Roster""]"
Gerald Barrack, Cornell,Gerald Barrack,1955,3,,"Bayonne, NJ.",Bayonne HS,['Sophomore' 'Junior' 'Senior'],Cornell University,Gerald,M,Barrack,M.,,Gerald M. Barrack,"[""1952-53 Men's Tennis Roster"" ""1953-1954 Men's Tennis Roster""
 ""1954-55 Men's Tennis Roster""]"
Gerald Friedman, Cornell,Gerald Friedman,1961,2,,"Woodmere, NY",Peddie,['Junior' 'Senior'],Cornell University,Gerald,M,Friedman,N.,,Gerald N. Friedman,"[""1959-60 Men's Tennis Roster"" ""1960-61 Men's Tennis Roster""]"
Gilmore Rothrock, Cornell,Gilmore Rothrock,1954,3,,"New Cumberland, Pa.",The Hill School,['Sophomore' 'Junior' 'Senior'],Cornell University,Gilmore,M,Rothrock,M.,,Gilmore M. Rothrock,"[""1951-52 Men's Tennis Roster"" ""1952-53 Men's Tennis Roster""
 ""1953-1954 Men's Tennis Roster""]"
Gordon Gardiner, Cornell,Gordon Gardiner,1950,4,,"Ridgewood, NJ",Ridgewood HS,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Gordon,M,Gardiner,,,Gordon Gardiner,"[""1946-47 Men's Tennis Roster"" ""1947-48 Men's Tennis Roster""
 ""1948-49 Men's Tennis Roster"" ""1949-50 Men's Tennis Roster""]"
H. Larry Braverman, Cornell,H. Larry Braverman,1960,1,,"Utica, NY",Utica Free A.,['Junior'],Cornell University,H.,M,Braverman,Larry, Larry,H. Larry Braverman,"[""1959-60 Men's Tennis Roster""]"
Harry Kirsch, Cornell,Harry Kirsch,1954,3,,"Newfane, Vt.",Rosenberd (Switzerland),['Sophomore' 'Junior' 'Senior'],Cornell University,Harry,M,Kirsch,R.,,Harry R. Kirsch,"[""1951-52 Men's Tennis Roster"" ""1952-53 Men's Tennis Roster""
 ""1953-1954 Men's Tennis Roster""]"
Henry Hinden, Cornell,Henry Hinden,1951,1,,"Lawrence, NY.",Lawrence HS,['Sophomore'],Cornell University,Henry,M,Hinden,,,Henry Hinden,"[""1950-51 Men's Tennis Roster""]"
Henry Steinglass, Cornell,Henry Steinglass,1962,2,,"New York, NY",Bronx HS of Science,['Junior' 'Senior'],Cornell University,Henry,M,Steinglass,J.,,Henry J. Steinglass,"[""1960-61 Men's Tennis Roster"" ""1961-62 Men's Tennis Roster""]"
Henry Strunk, Cornell,Henry Strunk,1954,1,,"Wyomissing, Pa.",Wyomissing HS,['Sophomore'],Cornell University,Henry,M,Strunk,K.,,Henry K. Strunk,"[""1953-1954 Men's Tennis Roster""]"
Herbert Doree, Cornell,Herbert Doree,1952,3,,"Barrington, Ill.",Choate,['Sophomore' 'Junior' 'Senior'],Cornell University,Herbert,M,Doree,A.,,Herbert A. Doree,"[""1949-50 Men's Tennis Roster"" ""1950-51 Men's Tennis Roster""
 ""1951-52 Men's Tennis Roster""]"
Herbert Johnston, Cornell,Herbert Johnston,1957,1,,"Buffalo, NY",Bennett HS,['Sophomore'],Cornell University,Herbert,M,Johnston,R.,,Herbert R. Johnston,"[""1956-57 Men's Tennis Roster""]"
Hollis Young, Cornell,Hollis Young,1948,2,,"Brookville, NY.",Hill School,['Junior' 'Senior'],Cornell University,Hollis,M,Young,D.,,Hollis D. Young,"[""1946-47 Men's Tennis Roster"" ""1947-48 Men's Tennis Roster""]"
Idwal Hughes, Cornell,Idwal Hughes,1953,2,,"Bailey's Bay, Bermuda",Whitney (Bermuda),['Sophomore' 'Junior'],Cornell University,Idwal,M,Hughes,,,Idwal Hughes,"[""1951-52 Men's Tennis Roster"" ""1952-53 Men's Tennis Roster""]"
