Field4,Field7_Text,Field7_Link,Field1,Field8,Field9,Field11,Field2_Text,Field3_Text
,,,Junior,"Paradise Valley, Ariz.",Saguaro HS,2006-07 Women's Tennis Roster,,Ashley Ebbert
,,,Sophomore,"Knoxville, Tenn.",Webb School of Knoxville,2006-07 Women's Tennis Roster,,Elizabeth Googe
,,,Sophomore,"Macedon, N.Y.",Penfield HS,2006-07 Women's Tennis Roster,,Tamara John
,,,Sophomore,"Upper St. Clair, Pa.",Upper St. Clair HS,2006-07 Women's Tennis Roster,,Shayna Miller
,,,Senior,"Boston, Mass.",Boston Latin School,2006-07 Women's Tennis Roster,,Kasia Preneta
,,,Junior,"Ithaca, N.Y.",Ithaca HS,2006-07 Women's Tennis Roster,,Weatherly Schwab
,,,Senior,"Kinnelon, N.J.",Newark Academy,2006-07 Women's Tennis Roster,,Nisha Suda
,,,Freshman,"St. Louis, Mo.",John Borroughs School,2006-07 Women's Tennis Roster,,Susan Sullivan
,,,Sophomore,"Punta Gorda, Fla.",Charlotte HS,2005-06 Women's Tennis Roster,,Dana Cruite
,,,Freshman,"Greenwood Village, Colo.",Kent Denver Upper School,2005-06 Women's Tennis Roster,,Catherine Duboc
,,,Sophomore,"Paradise Valley, Ariz.",Saguaro HS,2005-06 Women's Tennis Roster,,Ashley Ebbert
,,,Senior,"Hadley, Mass.",Amherst Regional HS,2005-06 Women's Tennis Roster,,Mollie Edinson
,,,Freshman,"Knoxville, Tenn.",Webb School of Knoxville,2005-06 Women's Tennis Roster,,Elizabeth Googe
,,,Freshman,"Macedon, N.Y.",Penfield HS,2005-06 Women's Tennis Roster,,Tamara John
,,,Freshman,"Upper St. Clair, Pa.",Upper St. Clair HS,2005-06 Women's Tennis Roster,,Shayna Miller
,,,Junior,"Boston, Mass.",Boston Latin School,2005-06 Women's Tennis Roster,,Kasia Preneta
,,,Sophomore,"Ithaca, N.Y.",Ithaca HS,2005-06 Women's Tennis Roster,,Weatherly Schwab
,,,Junior,"Kinnelon, N.J.",Newark Academy,2005-06 Women's Tennis Roster,,Nisha Suda
,,,Junior,"Greenvale, N.Y.",Roslyn HS,2005-06 Women's Tennis Roster,,Melanie Tu
,,,Senior,"Palo Alto, Calif.",Gunn HS,2005-06 Women's Tennis Roster,,Liying Wang
,,,Freshman,"Punta Gorda, Fla.",Charlotte HS,2004-05 Women's Tennis Roster,,Dana Cruite
,,,Freshman,"Paradise Valley, Ariz.",Saguaro HS,2004-05 Women's Tennis Roster,,Ashley Ebbert
,,,Junior,"Hadley, Mass.",Amherst Regional HS,2004-05 Women's Tennis Roster,,Mollie Edinson
,,,Senior,"Battle Creek, Mich.",Lakeview HS,2004-05 Women's Tennis Roster,,Akane Kokubo
,,,Junior,"Cotuit, Mass.",Barnstable HS,2004-05 Women's Tennis Roster,,Kara Maloy
,,,Sophomore,"Boston, Mass.",Boston Latin School,2004-05 Women's Tennis Roster,,Kasia Preneta
,,,Freshman,"Ithaca, N.Y.",Ithaca HS,2004-05 Women's Tennis Roster,,Weatherly Schwab
,,,Sophomore,"Kinnelon, N.J.",Newark Academy,2004-05 Women's Tennis Roster,,Nisha Suda
,,,Senior,"Redwood, Wash.",Lakeside HS,2004-05 Women's Tennis Roster,,Erika Takeuchi
,,,Sophomore,"Greenvale, N.Y.",Roslyn HS,2004-05 Women's Tennis Roster,,Melanie Tu
,,,Senior,"Greenvale, N.Y.",Roslyn HS,2004-05 Women's Tennis Roster,,Melissa Tu
